,itemList
1,sausage,whole milk,semi-finished bread,yogurt
2,whole milk,pastry,salty snack
3,canned beer,misc. beverages
4,sausage,hygiene articles
5,soda,pickled vegetables
6,beef,white bread
7,frankfurter,soda,whipped/sour cream
8,sausage,whole milk,rolls/buns
9,whole milk,soda
10,frankfurter,curd
11,butter,whole milk
12,tropical fruit,sugar
13,butter milk,specialty chocolate
14,frozen vegetables,other vegetables
15,root vegetables,detergent
16,frozen meals,dental care
17,rolls/buns,rolls/buns
18,sausage,rolls/buns
19,whole milk,chocolate,packaged fruit/vegetables,rolls/buns
20,root vegetables,whole milk,pastry
21,dish cleaner,cling film/bags
22,canned beer,frozen fish
23,pip fruit,whole milk,tropical fruit
24,rolls/buns,red/blush wine,chocolate
25,other vegetables,shopping bags
26,other vegetables,hygiene articles
27,whipped/sour cream,margarine
28,rolls/buns,rolls/buns
29,whole milk,frankfurter,chicken,frankfurter,flour,chocolate,bottled beer,rolls/buns
30,bottled water,softener,rolls/buns
31,whole milk,rice
32,shopping bags,skin care
33,tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film
34,hamburger meat,liquor (appetizer),liver loaf,dessert
35,tropical fruit,yogurt
36,pastry,ketchup
37,canned fish,cocoa drinks
38,herbs,yogurt,newspapers
39,bottled water,specialty bar
40,frankfurter,bottled water
41,pip fruit,candles,rolls/buns
42,pip fruit,coffee,UHT-milk
43,kitchen towels,sliced cheese
44,citrus fruit,candy,bottled water,rolls/buns
45,curd cheese,pastry
46,whole milk,frankfurter,candles,grapes,herbs,other vegetables,yogurt
47,tropical fruit,root vegetables,rolls/buns,onions,shopping bags
48,frozen vegetables,brown bread
49,processed cheese,whole milk
50,frankfurter,yogurt
51,other vegetables,mustard
52,hard cheese,napkins,bottled water
53,whole milk,candy
54,tropical fruit,frozen vegetables
55,mustard,whipped/sour cream
56,root vegetables,mayonnaise
57,frozen meals,whole milk
58,white bread,meat,domestic eggs,roll products
59,hamburger meat,butter milk
60,whole milk,rolls/buns
61,whole milk,sausage,bottled beer,yogurt
62,canned beer,cookware
63,salty snack,beef
64,fruit/vegetable juice,rolls/buns,chocolate
65,citrus fruit,whole milk
66,chicken,red/blush wine
67,soft cheese,pip fruit
68,rolls/buns,frankfurter,oil,pip fruit,mayonnaise
69,UHT-milk,bottled beer
70,brown bread,pet care
71,other vegetables,rolls/buns
72,yogurt,beef
73,other vegetables,root vegetables
74,soda,dessert,shopping bags
75,beverages,domestic eggs
76,butter milk,root vegetables
77,berries,cake bar
78,curd,long life bakery product
79,hamburger meat,red/blush wine
80,canned beer,spices,rolls/buns,frozen fish
81,frozen meals,butter,newspapers,yogurt
82,canned beer,shopping bags
83,liquor,curd,yogurt,tropical fruit
84,sliced cheese,butter
85,rolls/buns,baking powder
86,beef,napkins
87,whole milk,whipped/sour cream
88,sausage,fruit/vegetable juice
89,domestic eggs,soda
90,chicken,frozen meals
91,male cosmetics,curd
92,white bread,bottled beer,yogurt,berries
93,sausage,whipped/sour cream,specialty bar
94,whipped/sour cream,root vegetables,rolls/buns,packaged fruit/vegetables
95,fish,root vegetables,tropical fruit,other vegetables
96,canned beer,UHT-milk
97,coffee,shopping bags
98,ham,cream cheese
99,fruit/vegetable juice,salty snack,candy,dental care,butter
100,root vegetables,long life bakery product
101,citrus fruit,yogurt
102,root vegetables,whipped/sour cream,root vegetables,canned beer
103,sausage,dessert,rolls/buns,pickled vegetables
104,softener,salt,whole milk
105,pork,hamburger meat
106,rolls/buns,bottled water
107,rolls/buns,red/blush wine
108,rolls/buns,baking powder,onions,bottled water
109,rolls/buns,sugar
110,soda,butter
111,onions,canned beer,flower (seeds)
112,specialty chocolate,root vegetables
113,dessert,ham
114,other vegetables,other vegetables,berries
115,beverages,cream cheese
116,ice cream,pot plants
117,ice cream,whipped/sour cream
118,berries,soda,butter,other vegetables,white bread,cream cheese
119,yogurt,root vegetables
120,white bread,whole milk,pastry,shopping bags
121,whipped/sour cream,newspapers
122,chicken,waffles
123,fruit/vegetable juice,dessert
124,sausage,snack products,rolls/buns
125,tropical fruit,soda,rolls/buns
126,frankfurter,pastry
127,tropical fruit,newspapers
128,pip fruit,cling film/bags,yogurt,cat food
129,bottled water,domestic eggs,frozen meals
130,pip fruit,white wine,white bread,salt
131,sausage,frozen vegetables
132,whole milk,yogurt,yogurt,rolls/buns
133,whole milk,frozen vegetables
134,whole milk,newspapers
135,fruit/vegetable juice,vinegar
136,frankfurter,yogurt,canned beer
137,tropical fruit,white bread,rolls/buns
138,citrus fruit,shopping bags,chewing gum,cake bar
139,Instant food products,whipped/sour cream,butter,cake bar
140,sausage,pork,butter,whole milk,fruit/vegetable juice
141,pip fruit,herbs,frozen meals
142,margarine,napkins
143,whole milk,pip fruit,whipped/sour cream
144,other vegetables,specialty chocolate
145,salty snack,rolls/buns
146,yogurt,rolls/buns
147,root vegetables,white bread
148,tropical fruit,chicken,onions,packaged fruit/vegetables
149,whole milk,pasta,rolls/buns
150,chicken,frozen vegetables,candy
151,tropical fruit,brown bread,whole milk
152,prosecco,dessert
153,hamburger meat,yogurt
154,whole milk,other vegetables
155,citrus fruit,bottled water
156,beef,dessert
157,tropical fruit,sliced cheese
158,napkins,whole milk,chocolate marshmallow
159,citrus fruit,rolls/buns,whole milk
160,root vegetables,curd
161,tropical fruit,other vegetables
162,chicken,onions
163,fruit/vegetable juice,specialty chocolate,Instant food products
164,root vegetables,yogurt,butter,yogurt
165,whole milk,pastry
166,pork,bottled water
